ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2022-09-29T08:00:15.315299861Z,2022-09-29T08:00:15.315289249Z,10,2,532,A,N,0,258.250000000,6,130,10612,374546,,258.250000000,0,6,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:16.940393008Z,2022-09-29T08:00:16.940382239Z,10,2,532,A,N,0,219.980000000,6,130,10769,378701,219.980000000,258.250000000,6,6,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:17.426279827Z,2022-09-29T08:00:17.426269074Z,10,2,532,A,N,0,228.650000000,2,130,10753,379426,228.650000000,258.250000000,2,6,1,1,219.980000000,,6,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:17.426551885Z,2022-09-29T08:00:17.426541485Z,10,2,532,A,N,0,230.010000000,2,130,10400,379427,228.650000000,230.010000000,2,2,1,1,219.980000000,258.250000000,6,6,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:17.938624009Z,2022-09-29T08:00:17.938613863Z,10,2,532,C,N,0,228.650000000,2,130,10146,380464,219.980000000,230.010000000,6,2,1,1,,258.250000000,0,6,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:17.938757076Z,2022-09-29T08:00:17.938746540Z,10,2,532,A,N,0,228.660000000,2,130,10536,380466,228.660000000,230.010000000,2,2,1,1,219.980000000,258.250000000,6,6,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:18.487114980Z,2022-09-29T08:00:18.487104714Z,10,2,532,C,N,0,230.010000000,2,130,10266,381654,228.660000000,258.250000000,2,6,1,1,219.980000000,,6,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:18.487337373Z,2022-09-29T08:00:18.487326456Z,10,2,532,A,N,0,230.000000000,2,130,10917,381661,228.660000000,230.000000000,2,2,1,1,219.980000000,258.250000000,6,6,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:19.102165386Z,2022-09-29T08:00:19.102155260Z,10,2,532,C,N,0,230.000000000,2,130,10126,382914,228.660000000,258.250000000,2,6,1,1,219.980000000,,6,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2022-09-29T08:00:19.102295383Z,2022-09-29T08:00:19.102285036Z,10,2,532,A,N,0,229.990000000,2,130,10347,382916,228.660000000,229.990000000,2,2,1,1,219.980000000,258.250000000,6,6,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
