ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2022-09-29T08:00:00.699539385Z,2022-09-29T08:00:00.699528720Z,10,2,12017,A,N,0,86.800000000,10,130,10665,330269,86.800000000,,10,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2022-09-29T08:00:00.841795705Z,2022-09-29T08:00:00.841785139Z,10,2,12017,A,N,0,87.000000000,3,130,10566,330779,87.000000000,,3,0,1,0,86.800000000,,10,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2022-09-29T08:00:01.316859185Z,2022-09-29T08:00:01.316848091Z,10,2,12017,A,N,2,83.000000000,10,130,11094,333832,87.000000000,,3,0,1,0,86.800000000,,10,0,1,0,83.000000000,,10,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2022-09-29T08:00:01.725843787Z,2022-09-29T08:00:01.725832895Z,10,2,12017,A,N,0,92.000000000,53,130,10892,334933,87.000000000,92.000000000,3,53,1,1,86.800000000,,10,0,1,0,83.000000000,,10,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2022-09-29T08:00:01.728722378Z,2022-09-29T08:00:01.728711803Z,10,2,12017,A,N,1,96.500000000,20,130,10575,334939,87.000000000,92.000000000,3,53,1,1,86.800000000,96.500000000,10,20,1,1,83.000000000,,10,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2022-09-29T08:00:06.054253101Z,2022-09-29T08:00:06.054242368Z,10,2,12017,A,N,3,80.690000000,20,130,10733,348075,87.000000000,92.000000000,3,53,1,1,86.800000000,96.500000000,10,20,1,1,83.000000000,,10,0,1,0,80.690000000,,20,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2022-09-29T08:00:08.969075299Z,2022-09-29T08:00:08.969064696Z,10,2,12017,A,N,2,112.000000000,6,130,10603,354595,87.000000000,92.000000000,3,53,1,1,86.800000000,96.500000000,10,20,1,1,83.000000000,112.000000000,10,6,1,1,80.690000000,,20,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2022-09-29T08:00:17.542262732Z,2022-09-29T08:00:17.542252534Z,10,2,12017,A,N,0,87.490000000,31,130,10198,379634,87.490000000,92.000000000,31,53,1,1,87.000000000,96.500000000,3,20,1,1,86.800000000,112.000000000,10,6,1,1,83.000000000,,10,0,1,0,80.690000000,,20,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2022-09-29T08:00:17.542518280Z,2022-09-29T08:00:17.542507730Z,10,2,12017,A,N,0,88.150000000,30,130,10550,379635,87.490000000,88.150000000,31,30,1,1,87.000000000,92.000000000,3,53,1,1,86.800000000,96.500000000,10,20,1,1,83.000000000,112.000000000,10,6,1,1,80.690000000,,20,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2022-09-29T08:00:18.099979445Z,2022-09-29T08:00:18.099969475Z,10,2,12017,C,N,0,88.150000000,30,130,9970,380795,87.490000000,92.000000000,31,53,1,1,87.000000000,96.500000000,3,20,1,1,86.800000000,112.000000000,10,6,1,1,83.000000000,,10,0,1,0,80.690000000,,20,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2022-09-29T08:00:18.100129842Z,2022-09-29T08:00:18.100119687Z,10,2,12017,A,N,0,88.140000000,29,130,10155,380796,87.490000000,88.140000000,31,29,1,1,87.000000000,92.000000000,3,53,1,1,86.800000000,96.500000000,10,20,1,1,83.000000000,112.000000000,10,6,1,1,80.690000000,,20,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2022-09-29T08:00:20.107014998Z,2022-09-29T08:00:20.107004278Z,10,2,12017,C,N,0,88.140000000,29,130,10720,384696,87.490000000,92.000000000,31,53,1,1,87.000000000,96.500000000,3,20,1,1,86.800000000,112.000000000,10,6,1,1,83.000000000,,10,0,1,0,80.690000000,,20,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
